Province_State,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate
New York,407326,32506,72229,302591,36,2093.83773,5164812,89995,7.980340072,26549.44254,22.09409662
California,397870,7770,,390100,6,1006.954228,6414321,,1.952899188,16233.76392,
Florida,360394,5072,,355322,12,1677.988701,3052106,21605,1.407348624,14210.55673,5.994827883
Texas,343783,4106,177871,161806,48,1185.627021,2984554,,1.194358069,10293.02748,
New Jersey,176963,15715,31448,129800,34,1992.335224,1802874,21058,8.880387426,20297.6293,11.89966264
Illinois,163922,7494,,156428,17,1293.594662,2280284,,4.571686534,17994.91959,
Georgia,145582,3177,,142405,13,1371.161345,1273781,15047,2.182275281,11997.08253,10.33575579
Arizona,145183,2784,18518,123881,4,1994.623503,793523,6698,1.917579882,10901.96253,4.613487805
Massachusetts,113789,8433,95390,9966,25,1650.909691,1051281,11722,7.41108543,15252.52873,10.30152299
Pennsylvania,106405,7025,76780,22600,42,794.7046354,1039913,,6.898110834,8123.058065,
North Carolina,101231,1677,78707,20847,37,965.2001262,1423888,,1.656607166,13576.24519,
Louisiana,94892,3462,53288,38142,22,2041.217572,1102924,,3.648358133,23724.94888,
Michigan,82395,6373,55162,20860,26,825.0343426,1506789,,7.734692639,15087.71979,
Tennessee,79754,847,45974,32933,47,1167.842553,1215167,3712,1.062015698,17793.76247,4.654312009
Maryland,78685,3382,5344,69959,24,1301.507854,749279,11897,4.298150855,12393.62652,15.11978141
Virginia,78375,2031,10107,66237,51,918.2218445,920461,11265,2.59138756,10783.89024,14.37320574
Ohio,76168,3189,51860,21119,39,651.6156077,1181912,9610,4.186797605,10111.23183,12.61684697
South Carolina,71445,1164,22553,47728,45,1387.628056,588316,4182,1.629225278,11426.46494,5.853453706
Alabama,68891,1291,29736,37864,1,1405.025509,593788,8368,1.87397483,12110.25079,12.14672454
Indiana,57206,2825,41322,13059,18,849.7346863,635660,7941,4.938293186,9442.057663,13.88141104
Connecticut,48055,4406,8466,35183,9,1347.85783,657293,10654,9.168660909,18435.90712,22.17042972
Washington,47743,1453,,46290,53,626.9687571,809339,5063,3.043378087,10628.36996,10.60469598
Minnesota,47107,1585,40742,4780,27,835.2849973,867410,4678,3.364680408,15380.61349,9.930583565
Mississippi,43889,1358,30315,12216,28,1474.690951,389975,3766,3.094169382,13103.34261,8.58073777
Wisconsin,43018,846,33130,9042,55,738.8319043,783866,4129,1.966618625,13462.85763,9.598307685
Colorado,40548,1758,4969,33821,8,704.112847,442169,6032,4.335602249,7678.230084,14.87619611
Iowa,39343,798,28024,10521,19,1246.977088,418544,,2.028315075,13265.75956,
Nevada,36713,648,867,35198,32,1191.920149,395421,,1.765042356,12837.69393,
Utah,34526,247,21504,12775,49,1076.932387,469404,2066,0.715402885,14641.61414,5.983896194
Missouri,34102,1138,,32964,29,555.6399195,571912,,3.33704768,9318.431108,
Arkansas,33927,363,26397,7167,5,1124.228081,432816,2202,1.069944292,14342.08451,6.490405871
Oklahoma,25436,452,19750,5234,40,642.8149208,476108,2403,1.777008964,12032.13266,9.447240132
Kentucky,23414,671,6876,15867,21,524.0759563,494154,2882,2.865806782,11060.6573,12.30887503
Nebraska,22847,313,17112,5422,31,1181.084859,234896,1482,1.36998293,12143.04325,6.486628441
Kansas,22656,312,1016,21328,20,777.6710646,261531,1497,1.377118644,8977.096187,6.607521186
Rhode Island,17904,995,1738,15171,44,1690.075432,183625,2110,5.557417337,17333.5624,11.78507596
New Mexico,17215,578,6764,9873,35,821.0016172,469215,2387,3.357537032,22377.36124,13.8658147
Idaho,15268,122,4149,10997,16,854.3617608,147888,600,0.799056851,8275.468436,3.929787791
Oregon,14847,262,3338,11247,41,352.0134138,340044,1387,1.764666263,8062.238115,9.341954604
Delaware,13624,523,7362,5739,10,1399.10697,152995,,3.838813858,15711.71249,
Puerto Rico,12461,180,,12281,72,424.7960052,205147,,1.444506861,6993.469712,
District of Columbia,11339,579,1909,8851,11,1606.661859,151740,,5.106270394,21500.56181,
South Dakota,7943,118,6996,829,46,897.8600794,98654,774,1.485584792,11151.64148,9.744429057
New Hampshire,6249,398,5251,600,33,459.5829555,143378,673,6.369019043,10544.74076,10.76972316
North Dakota,5126,93,4219,814,38,672.6486821,135978,305,1.81428014,17843.43006,5.950058525
West Virginia,5084,100,3466,1518,54,283.6820863,234980,,1.966955153,13111.64765,
Maine,3711,117,3159,435,23,276.0725243,139222,375,3.152789006,10357.14605,10.10509297
Montana,2620,39,1334,1247,30,245.1397765,139042,167,1.488549618,13009.43695,6.374045802
Wyoming,2187,24,1652,511,56,377.877493,44114,144,1.09739369,7622.170886,6.58436214
Alaska,1950,18,712,1220,2,266.5591317,175586,,0.923076923,24002.07779,
Hawaii,1393,24,1043,326,15,98.38459974,105956,150,1.722900215,7483.444831,10.76812635
Vermont,1360,56,1139,165,50,217.9525601,83868,,4.117647059,13440.62155,
Guam,319,5,235,79,66,194.2409684,18571,,1.567398119,11307.99067,
Virgin Islands,304,6,135,163,78,283.4023194,6921,,1.973684211,6452.063989,
Grand Princess,103,3,,100,99999,,,,2.912621359,,
Diamond Princess,49,0,,49,88888,,,,0,,
Northern Mariana Islands,38,2,29,7,69,68.9104889,11092,4,5.263157895,20114.60902,10.52631579
American Samoa,0,0,,0,60,0,1037,,,1863.733578,